setting,seed,collapse,ci_level,ci_slope,ci_volatility,ci_accel
main,42,0,,,,
main,43,1,,,,
main,44,0,,,,
main,45,0,,,,
main,46,0,,,,
main,47,0,,,,
main,48,0,,,,
main,49,1,,,,
main,50,0,,,,
main,51,0,,,,
explicit,42,1,,,,
explicit,43,0,,,,
explicit,44,0,,,,
explicit,45,0,,,,
explicit,46,1,,,,
explicit,47,0,,,,
explicit,48,0,,,,
explicit,49,0,,,,
explicit,50,0,,,,
explicit,51,0,,,,
stress,42,0,-0.5887111028035482,0.12271112203598031,0.11190630659226565,0.21146667003631592
stress,43,1,,,,
stress,44,0,,,,
stress,45,0,,,,
stress,46,0,,,,
stress,47,1,,,,
stress,48,0,,,,
stress,49,0,,,,
stress,50,0,,,,
stress,51,0,,,,
