cfg,collapse_prob,vendi_diversity,pec_path_existence
1.0,0.25272686427206087,1.3064698297932058,0.20816401757225378
2.0,0.2527682100061266,1.3064698297932054,0.29422151738386315
3.0,0.25280956021592604,1.3064698297932054,0.3527232595886286
4.0,0.25285091490119516,1.306469829793206,0.39746495438840657
5.0,0.2528922740616694,1.3064698297932051,0.4337627942105837
6.0,0.252933637697084,1.3064698297932051,0.4642960019139487
7.0,0.2529750058071739,1.3064698297932065,0.4906229670707364
8.0,0.25301637839167396,1.3064698297932067,0.5137367764520167
9.0,0.2530577554503185,1.306469829793207,0.5343119731847562
10.0,0.25309913698284175,1.3064698297932062,0.5528289446720659
11.0,0.25314052298897755,1.3064698297932051,0.5696425687414459
12.0,0.2531819134684596,1.306469829793207,0.5850227817501066
13.0,0.2532233084210212,1.306469829793206,0.5991798772484733
14.0,0.2532647078463955,1.3064698297932047,0.6122809826404406
15.0,0.25330611174431517,1.3064698297932047,0.6244611820649166
16.0,0.2533475201145129,1.3064698297932062,0.6358312549934612
17.0,0.25338893295672094,1.3064698297932062,0.6464832005893401
18.0,0.25343035027067123,1.3064698297932067,0.6564942700211697
19.0,0.25347177205609556,1.3064698297932054,0.6659299673719402
20.0,0.2535131983127253,1.3064698297932056,0.674846321457492
